"행정구역","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상"
"서울특별시 동대문구 장안제2동(1123066000)","16,304","16,304","1,421","1,505","1,970","2,510","2,951","2,469","2,071","1,073","304","26","4","16,313","16,313","1,353","1,295","1,862","2,475","2,818","2,472","2,262","1,207","485","80","4"
"서울특별시 동대문구 청량리동(1123070500)","9,543","9,543","388","550","1,186","1,172","1,249","1,677","1,874","1,031","380","36","0","9,573","9,573","361","512","1,039","980","1,158","1,610","1,910","1,283","621","94","5"
"서울특별시 동대문구 회기동(1123071000)","4,960","4,960","221","331","1,511","781","634","625","433","284","125","14","1","5,439","5,439","200","368","1,722","698","657","588","551","393","223","39","0"
"서울특별시 동대문구 휘경제1동(1123072000)","6,558","6,558","408","390","1,486","1,100","868","960","749","403","180","13","1","7,139","7,139","392","403","1,949","1,026","813","972","785","530","226","41","2"
"서울특별시 동대문구 휘경제2동(1123073000)","12,002","12,002","637","968","2,850","1,575","1,698","1,745","1,421","804","266","38","0","12,085","12,085","562","1,062","2,491","1,367","1,755","1,768","1,563","992","459","64","2"
"서울특별시 동대문구 이문제1동(1123074000)","8,973","8,973","336","632","2,308","1,212","1,187","1,340","1,017","631","283","26","1","9,023","9,023","336","616","2,369","910","1,128","1,228","1,147","822","397","66","4"
"서울특별시 동대문구 이문제2동(1123075000)","9,798","9,798","643","887","1,348","1,225","1,578","1,690","1,315","802","288","18","4","10,388","10,388","593","883","1,450","1,262","1,559","1,679","1,451","1,021","416","71","3"
"서울특별시 중랑구 (1126000000)","192,923","192,923","11,442","13,224","27,533","29,400","29,256","33,844","28,910","14,215","4,730","348","21","197,553","197,553","10,705","12,819","28,118","27,723","27,376","34,600","30,671","16,907","7,344","1,234","56"
"서울특별시 중랑구 면목제2동(1126052000)","12,194","12,194","609","771","1,662","1,700","1,919","2,465","1,830","918","295","25","0","12,251","12,251","589","790","1,666","1,531","1,707","2,352","1,928","1,125","474","85","4"
"서울특별시 중랑구 면목제4동(1126054000)","9,536","9,536","554","619","1,299","1,407","1,574","1,657","1,388","798","218","21","1","9,617","9,617","502","580","1,218","1,304","1,386","1,634","1,579","1,020","342","49","3"
"서울특별시 중랑구 면목제5동(1126055000)","7,378","7,378","657","458","904","1,351","1,214","1,248","953","448","134","10","1","7,266","7,266","675","427","871","1,324","1,017","1,213","969","524","222","24","0"
"서울특별시 중랑구 면목본동(1126056500)","16,945","16,945","769","927","2,698","2,762","2,590","3,140","2,435","1,202","402","19","1","17,220","17,220","733","965","2,667","2,502","2,347","3,158","2,587","1,560","614","86","1"
"서울특별시 중랑구 면목제7동(1126057000)","11,116","11,116","640","644","1,571","1,713","1,675","1,907","1,760","916","272","18","0","11,006","11,006","526","586","1,518","1,634","1,484","1,938","1,834","1,008","403","74","1"
